项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
海亮医院,后勤管理中心,海亮医院,海亮医院,海亮医院,"2,206.35","2,133.25",103.43%,73.1,"2,083.73",0.02,0,,-51.54,0,0,,0,0,"2,133.25",0.00%,"2,135.26",0.00%,100.00%,-100.00%,102.47%,598.1,665.89,89.82%,665.84,696.72,717.41,97.12%,789.01,0.2,0,0.01,0.06,0,-1.34,911.65,749.96,121.56%,161.69,681.77,41.32%,35.16%,6.16%,32.72%,27.11%,31.21%,89.82%,31.95%,3.69,3.2,115.15%,3.13,1.52,1.13,135.34%,1.02,58.29,69.29,-11,68,10.26,9.79,9.61,0.65,营收/利润取值
后勤加工中心,后勤管理中心,中心其余业务部门,后勤加工中心,后勤加工中心,0,0,,0,0,0.48,0,,0,1.51,1.9,79.56%,3.26,-1.99,-1.9,95.19%,-3.26,,,0.00%,,91.94,101.93,90.20%,109.32,112.74,102.59,109.90%,90.74,0,0,0,0.49,0,0,-207.17,-206.42,99.64%,-0.75,-203.32,,,0.00%,,,,90.20%,,0,0,,0,-2.25,-2.03,88.73%,-1.86,22.43,26,-3.57,26.29,4.1,4.16,3.92,0.18,
科研大厦食堂,后勤管理中心,中心其余业务部门,科研大厦食堂,科研大厦食堂,245.76,239.84,102.47%,5.92,266.87,0,0,,0,163.77,201.49,81.28%,242.45,81.99,38.35,213.78%,24.42,33.36%,15.99%,17.37%,9.15%,178.76,186.49,95.85%,188.78,33.23,51.77,64.19%,39.43,0.5,0,0,0,0,0,-129.5,-199.9,135.22%,70.4,-203.79,-52.69%,-83.35%,30.65%,-76.36%,72.74%,77.76%,95.85%,70.74%,1.37,1.29,106.90%,1.41,-0.72,-1.07,132.42%,-1.08,31.14,37,-5.86,39.43,5.74,4.79,5.04,0.7,
后勤一卡通管理,后勤管理中心,中心其余业务部门,后勤一卡通管理,后勤一卡通管理,46.57,50,93.14%,-3.43,48.24,0,0,,30.11,0,0,,0,46.57,50,93.14%,18.14,100.00%,100.00%,0.00%,37.59%,0,0,,0,89.05,66.16,134.60%,21.83,0,0,0,0,0,0,-42.48,-16.16,-62.87%,-26.32,-3.7,-91.22%,-32.32%,-58.90%,-7.66%,0.00%,0.00%,,0.00%,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
湘湖后勤,后勤管理中心,中心其余业务部门,湘湖后勤,湘湖后勤,307.29,311.14,98.76%,-3.85,321.51,0,0,,0.07,0,0,,0,123.79,120.03,103.13%,128.72,40.28%,38.58%,1.71%,40.03%,183.5,191.11,96.02%,192.79,2.27,3.78,60.12%,2.45,0.36,0,0.38,0,0,0,121.88,116.25,104.85%,5.63,126.58,39.66%,37.36%,2.30%,39.37%,59.72%,61.42%,96.02%,59.97%,1.67,1.63,102.86%,1.67,0.66,0.61,109.20%,0.66,42.86,48,-5.14,48.57,4.28,3.97,3.98,0.3,
中心其余业务部门,后勤管理中心,中心其余业务部门,,,599.62,600.98,99.77%,-1.36,636.62,0.48,0,,30.17,165.28,203.39,81.26%,245.71,433.86,397.59,109.12%,360.74,72.36%,66.16%,6.20%,56.67%,454.2,479.54,94.72%,490.89,237.3,224.29,105.80%,154.45,0.86,0,0.38,0.49,0,0,-257.28,-306.24,115.99%,48.96,-284.23,-42.91%,-50.96%,8.05%,-44.65%,75.75%,79.79%,94.72%,77.11%,1.32,1.25,105.34%,1.3,-0.57,-0.64,111.30%,-0.58,96.43,111,-14.57,114.29,4.71,4.3,4.32,0.39,营收/利润取值
后勤加工中心,后勤管理中心,中心其余业务部门,后勤加工中心,后勤加工中心,0,0,,0,0,0.48,0,,0,1.51,1.9,79.56%,3.26,-1.99,-1.9,95.19%,-3.26,,,0.00%,,91.94,101.93,90.20%,109.32,112.74,102.59,109.90%,90.74,0,0,0,0.49,0,0,-207.17,-206.42,99.64%,-0.75,-203.32,,,0.00%,,,,90.20%,,0,0,,0,-2.25,-2.03,88.73%,-1.86,22.43,26,-3.57,26.29,4.1,4.16,3.92,0.18,
科研大厦食堂,后勤管理中心,中心其余业务部门,科研大厦食堂,科研大厦食堂,245.76,239.84,102.47%,5.92,266.87,0,0,,0,163.77,201.49,81.28%,242.45,81.99,38.35,213.78%,24.42,33.36%,15.99%,17.37%,9.15%,178.76,186.49,95.85%,188.78,33.23,51.77,64.19%,39.43,0.5,0,0,0,0,0,-129.5,-199.9,135.22%,70.4,-203.79,-52.69%,-83.35%,30.65%,-76.36%,72.74%,77.76%,95.85%,70.74%,1.37,1.29,106.90%,1.41,-0.72,-1.07,132.42%,-1.08,31.14,37,-5.86,39.43,5.74,4.79,5.04,0.7,
后勤一卡通管理,后勤管理中心,中心其余业务部门,后勤一卡通管理,后勤一卡通管理,46.57,50,93.14%,-3.43,48.24,0,0,,30.11,0,0,,0,46.57,50,93.14%,18.14,100.00%,100.00%,0.00%,37.59%,0,0,,0,89.05,66.16,134.60%,21.83,0,0,0,0,0,0,-42.48,-16.16,-62.87%,-26.32,-3.7,-91.22%,-32.32%,-58.90%,-7.66%,0.00%,0.00%,,0.00%,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
湘湖后勤,后勤管理中心,中心其余业务部门,湘湖后勤,湘湖后勤,307.29,311.14,98.76%,-3.85,321.51,0,0,,0.07,0,0,,0,123.79,120.03,103.13%,128.72,40.28%,38.58%,1.71%,40.03%,183.5,191.11,96.02%,192.79,2.27,3.78,60.12%,2.45,0.36,0,0.38,0,0,0,121.88,116.25,104.85%,5.63,126.58,39.66%,37.36%,2.30%,39.37%,59.72%,61.42%,96.02%,59.97%,1.67,1.63,102.86%,1.67,0.66,0.61,109.20%,0.66,42.86,48,-5.14,48.57,4.28,3.97,3.98,0.3,
酒店早餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店早餐厅,155,177,87.57%,-22,175.77,0,0,,0,69.93,84.9,82.37%,88.74,85.07,92.1,92.37%,87.03,54.88%,52.03%,2.85%,49.51%,46.35,47.77,97.02%,47.16,21.92,22.45,97.60%,20.63,0.3,0,0,0.25,0,0.22,16.85,21.87,77.03%,-5.02,19.02,10.87%,12.36%,-1.49%,10.82%,29.90%,26.99%,97.02%,26.83%,3.34,3.71,90.26%,3.73,0.36,0.46,79.39%,0.4,8.57,10,-1.43,10,5.41,4.72,4.78,0.63,
酒店中餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店中餐厅,142.58,156,91.40%,-13.42,171,0,0,,0,84.89,93.33,90.96%,101.15,57.69,62.67,92.05%,69.85,40.46%,40.17%,0.29%,40.85%,132.61,135.57,97.82%,142.04,40.07,36.7,109.16%,35.76,0,0,0,0.04,0,0,-115.04,-109.61,95.04%,-5.43,-107.94,-80.68%,-70.26%,-10.42%,-63.12%,93.01%,86.91%,97.82%,83.06%,1.08,1.15,93.44%,1.2,-0.87,-0.81,92.70%,-0.76,19,24,-5,24.29,6.98,5.85,5.65,1.33,
酒店客房部,后勤管理中心,念心湖酒店,酒店本级,酒店客房部,311.6,352.92,88.29%,-41.32,343.41,0,0,,1.21,-0.21,0,,0.94,0,352.92,0.00%,341.26,0.00%,100.00%,-100.00%,99.37%,91.1,88.89,102.49%,94.22,471.26,482.91,97.59%,465.8,0.05,0,0,0.72,0,0.09,-251.22,-218.88,85.23%,-32.34,-218.85,-80.62%,-62.02%,-18.60%,-63.73%,29.24%,25.19%,102.49%,27.44%,3.42,3.97,86.15%,3.64,-2.76,-2.46,88.01%,-2.32,13,15,-2,15.43,7.01,6.11,5.93,1.08,
后勤安全管理部,后勤管理中心,中心管理部门,后勤安全管理部,后勤安全管理部,19.13,22.36,85.55%,-3.23,17.72,0,0,,0,0,0,,0,19.13,22.36,85.55%,17.72,100.00%,100.00%,0.00%,100.00%,427.66,413.4,103.45%,427.62,81.65,98.47,82.92%,81.13,0.28,0,0.51,2.7,0,0,-492.6,-489.51,99.37%,-3.09,-490.52,-2575.01%,-2189.21%,-385.80%,-2768.72%,2235.52%,1848.84%,103.45%,2413.64%,0.04,0.05,82.70%,0.04,-1.15,-1.18,102.72%,-1.15,65.71,78,-12.29,77.57,6.51,5.51,5.3,1.21,
后勤餐饮运营部,后勤管理中心,中心管理部门,后勤餐饮运营部,后勤餐饮运营部,21.47,25.34,84.73%,-3.87,29.69,0,0,,-0.65,0.07,0,,-19.09,21.4,25.34,84.46%,49.43,99.68%,100.00%,-0.32%,166.48%,162.72,150.38,108.21%,145.88,14.22,38.47,36.97%,46.04,-0.38,0,8.26,0.84,0,0.11,-156.76,-163.51,104.13%,6.75,-134.34,-730.14%,-645.28%,-84.85%,-452.47%,757.90%,593.46%,108.21%,491.33%,0.13,0.17,78.30%,0.2,-0.96,-1.09,111.40%,-0.92,18,23,-5,22.29,9.04,6.55,6.54,2.5,
后勤管理中心总监室,后勤管理中心,中心管理部门,后勤管理中心总监室,后勤管理中心总监室,0,63.16,0.00%,-63.16,0,0,0,,0,0,0,,0,0,63.16,0.00%,0,,100.00%,-100.00%,,28.46,38.58,73.78%,48.04,353.93,408.85,86.57%,367.22,0,0,0,0,0,0,-382.39,-384.26,100.49%,1.87,-415.26,,-608.40%,608.40%,,,61.08%,73.78%,,0,1.64,0.00%,0,-13.43,-9.96,65.12%,-8.64,0.86,1,-0.14,2.71,33.21,17.7,38.58,-5.37,
后勤物业管理部,后勤管理中心,中心管理部门,后勤物业管理部,后勤物业管理部,"1,628.39","1,635.86",99.54%,-7.47,"1,514.23",0,0,,0,0,0,,0,"1,628.39","1,635.86",99.54%,"1,514.23",100.00%,100.00%,0.00%,100.00%,484.09,532.33,90.94%,527.4,"1,266.00","1,343.90",94.20%,"1,616.85",0.08,0,2.14,0.74,0,1.41,-122.36,-240.37,149.09%,118.01,-629.29,-7.51%,-14.69%,7.18%,-41.56%,29.73%,32.54%,90.94%,34.83%,3.36,3.07,109.46%,2.87,-0.25,-0.45,144.02%,-1.19,78.57,96,-17.43,90.29,6.16,5.84,5.55,0.62,
后勤综合管理部,后勤管理中心,中心管理部门,后勤综合管理部,后勤综合管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,2.65,0,0,0.01,0,0,0,0,0,0.00%,0,-2.64,,,0.00%,,,,,,-1,-1,100.00%,0,-1,-1,100.00%,-528.29,0,0,0,2.57,,0,,,
生活体验广场,后勤管理中心,教育园特色餐饮,教育园特色餐饮,生活体验广场,"1,080.53","1,080.58",100.00%,-0.05,"1,001.74",0,0,,0.63,458.74,437.21,104.92%,401.12,621.79,643.36,96.65%,600,57.54%,59.54%,-1.99%,59.90%,238.86,231.59,103.14%,214.74,129.2,144.1,89.66%,160.66,0.41,0,0,1.44,0,0.3,252.71,267.68,94.41%,-14.97,224.3,23.39%,24.77%,-1.38%,22.39%,22.11%,21.43%,103.14%,21.44%,4.52,4.67,96.95%,4.66,1.06,1.16,91.53%,1.04,45.14,50,-4.86,48.43,5.29,4.43,4.63,0.66,
中西餐厅,后勤管理中心,教育园特色餐饮,教育园特色餐饮,中西餐厅,307.77,380.56,80.87%,-72.79,352.01,0,0,,0,115.95,137.13,84.55%,126.96,191.82,243.43,78.80%,225.05,62.33%,63.97%,-1.64%,63.93%,107.39,121.14,88.65%,104.24,28.07,30.03,93.49%,29.12,0,0,0.02,0.32,0,0,56.04,92.26,60.74%,-36.22,91.71,18.21%,24.24%,-6.03%,26.05%,34.89%,31.83%,88.65%,29.61%,2.87,3.14,91.23%,3.38,0.52,0.76,68.52%,0.88,21.29,27.86,-6.57,23.29,5.05,4.48,4.35,0.7,
中心管理部门,后勤管理中心,中心管理部门,,,"1,669.00","1,746.72",95.55%,-77.72,"1,561.64",0,0,,-0.65,0.07,0,,-19.09,"1,668.93","1,746.72",95.55%,"1,581.38",100.00%,100.00%,0.00%,101.26%,"1,102.93","1,134.69",97.20%,"1,148.95","1,715.80","1,889.68",90.80%,"2,113.89",-0.02,0,10.92,4.28,0,1.52,"-1,154.10","-1,277.65",109.67%,123.55,"-1,672.07",-69.15%,-73.15%,4.00%,-107.07%,66.08%,64.96%,97.20%,73.57%,1.51,1.54,98.30%,1.36,-1.05,-1.13,107.07%,-1.46,163.14,198,-34.86,195.43,6.76,5.88,5.73,1.03,营收/利润取值
后勤安全管理部,后勤管理中心,中心管理部门,后勤安全管理部,后勤安全管理部,19.13,22.36,85.55%,-3.23,17.72,0,0,,0,0,0,,0,19.13,22.36,85.55%,17.72,100.00%,100.00%,0.00%,100.00%,427.66,413.4,103.45%,427.62,81.65,98.47,82.92%,81.13,0.28,0,0.51,2.7,0,0,-492.6,-489.51,99.37%,-3.09,-490.52,-2575.01%,-2189.21%,-385.80%,-2768.72%,2235.52%,1848.84%,103.45%,2413.64%,0.04,0.05,82.70%,0.04,-1.15,-1.18,102.72%,-1.15,65.71,78,-12.29,77.57,6.51,5.51,5.3,1.21,
后勤餐饮运营部,后勤管理中心,中心管理部门,后勤餐饮运营部,后勤餐饮运营部,21.47,25.34,84.73%,-3.87,29.69,0,0,,-0.65,0.07,0,,-19.09,21.4,25.34,84.46%,49.43,99.68%,100.00%,-0.32%,166.48%,162.72,150.38,108.21%,145.88,14.22,38.47,36.97%,46.04,-0.38,0,8.26,0.84,0,0.11,-156.76,-163.51,104.13%,6.75,-134.34,-730.14%,-645.28%,-84.85%,-452.47%,757.90%,593.46%,108.21%,491.33%,0.13,0.17,78.30%,0.2,-0.96,-1.09,111.40%,-0.92,18,23,-5,22.29,9.04,6.55,6.54,2.5,
后勤管理中心总监室,后勤管理中心,中心管理部门,后勤管理中心总监室,后勤管理中心总监室,0,63.16,0.00%,-63.16,0,0,0,,0,0,0,,0,0,63.16,0.00%,0,,100.00%,-100.00%,,28.46,38.58,73.78%,48.04,353.93,408.85,86.57%,367.22,0,0,0,0,0,0,-382.39,-384.26,100.49%,1.87,-415.26,,-608.40%,608.40%,,,61.08%,73.78%,,0,1.64,0.00%,0,-13.43,-9.96,65.12%,-8.64,0.86,1,-0.14,2.71,33.21,17.7,38.58,-5.37,
后勤物业管理部,后勤管理中心,中心管理部门,后勤物业管理部,后勤物业管理部,"1,628.39","1,635.86",99.54%,-7.47,"1,514.23",0,0,,0,0,0,,0,"1,628.39","1,635.86",99.54%,"1,514.23",100.00%,100.00%,0.00%,100.00%,484.09,532.33,90.94%,527.4,"1,266.00","1,343.90",94.20%,"1,616.85",0.08,0,2.14,0.74,0,1.41,-122.36,-240.37,149.09%,118.01,-629.29,-7.51%,-14.69%,7.18%,-41.56%,29.73%,32.54%,90.94%,34.83%,3.36,3.07,109.46%,2.87,-0.25,-0.45,144.02%,-1.19,78.57,96,-17.43,90.29,6.16,5.84,5.55,0.62,
后勤综合管理部,后勤管理中心,中心管理部门,后勤综合管理部,后勤综合管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,2.65,0,0,0.01,0,0,0,0,0,0.00%,0,-2.64,,,0.00%,,,,,,-1,-1,100.00%,0,-1,-1,100.00%,-528.29,0,0,0,2.57,,0,,,
三大区域,三大区域,,,,"18,936.15","30,302.34",62.49%,"-11,366.19","7,755.98","13,000.74","21,590.46",60.22%,"4,409.37","1,274.39","1,479.53",86.13%,"1,022.88","4,661.03","7,232.34",64.45%,"2,323.73",24.61%,23.87%,0.75%,29.96%,"3,341.39","3,704.60",90.20%,"1,317.19","1,856.12","2,079.37",89.26%,589.99,31.18,0.57,10.22,23.46,2,0.79,-528.78,"1,446.94",-36.54%,"-1,975.72",425.98,-2.79%,4.78%,-7.57%,5.49%,17.65%,12.23%,90.20%,16.98%,5.67,8.18,69.28%,5.89,-0.16,0.39,-40.52%,0.32,895.29,721.14,174.14,391.86,3.73,3.36,5.14,-1.4,
西南区域,三大区域,西南区域,,,"10,150.74","12,974.26",78.24%,"-2,823.52","5,836.59","7,232.74","9,328.24",77.54%,"3,692.33",660.33,646.48,102.14%,628.05,"2,257.67","2,999.55",75.27%,"1,516.20",22.24%,23.12%,-0.88%,25.98%,"1,331.49","1,469.37",90.62%,594.03,993.95,961.55,103.37%,370.74,25.99,0.51,4.72,19.55,2,0.01,-61.33,567.13,-10.81%,-628.46,556.13,-0.60%,4.37%,-4.98%,9.53%,13.12%,11.33%,90.62%,10.18%,7.62,8.83,86.34%,9.83,-0.05,0.39,-11.93%,0.94,393.29,281.14,112.14,199.57,3.39,2.98,5.23,-1.84,营收/利润取值
景东配送,三大区域,西南区域,存量,景东配送,"3,471.83","3,534.66",98.22%,-62.83,"3,287.74","3,007.51","3,029.99",99.26%,"2,724.47",5.76,7.05,81.64%,0.77,464.32,504.67,92.00%,562.5,13.37%,14.28%,-0.90%,17.11%,139.8,172.96,80.83%,186.63,183.16,159.2,115.05%,152.29,1.17,0,1.12,0.44,2,0.01,136.33,163.46,83.40%,-27.13,224.68,3.93%,4.62%,-0.70%,6.83%,4.03%,4.89%,80.83%,5.68%,24.83,20.44,121.52%,17.62,0.98,0.95,103.18%,1.2,30.43,43,-12.57,37.29,4.59,5.01,4.02,0.57,
江陵配送,三大区域,西南区域,存量,江陵配送,"2,040.75","2,446.35",83.42%,-405.6,468.25,"1,679.46","1,897.82",88.49%,378.88,1.04,0,,0,361.29,548.53,65.86%,89.37,17.70%,22.42%,-4.72%,19.09%,120.68,154.63,78.05%,25.78,309.95,312.43,99.21%,58.01,0.55,0,0,0,0,0,-69.84,81.47,-85.73%,-151.31,5.58,-3.42%,3.33%,-6.75%,1.19%,5.91%,6.32%,78.05%,5.51%,16.91,15.82,106.88%,18.17,-0.58,0.53,-109.84%,0.22,26.86,38,-11.14,12,4.49,2.15,4.07,0.42,
陆良配送,三大区域,西南区域,存量,陆良配送,"1,795.39","2,579.96",69.59%,-784.57,0,"1,535.77","2,040.37",75.27%,0,7.9,10.6,74.52%,0,259.62,539.59,48.12%,0,14.46%,20.91%,-6.45%,,132.55,182.45,72.65%,0,185.48,230.07,80.62%,0,1.05,0,0,0,0,0,-65.25,116.47,-56.02%,-181.72,0,-3.63%,4.51%,-8.15%,,7.38%,7.07%,72.65%,,13.54,14.14,95.79%,,-0.49,0.64,-77.11%,,38.43,50,-11.57,0,3.45,,3.65,-0.2,
镇沅配送,三大区域,西南区域,增量,镇沅配送,224.33,895.04,25.06%,-670.71,0,213.14,860.42,24.77%,0,0,0,,0,11.19,34.62,32.33%,0,4.99%,3.87%,1.12%,,6.65,6.62,100.45%,0,1.4,3.21,43.56%,0,0,0,0,0,0,0,3.15,24.79,12.70%,-21.64,0,1.40%,2.77%,-1.37%,,2.96%,0.74%,100.45%,,33.75,135.24,24.95%,,0.47,3.75,12.65%,,0.43,0,0.43,0,15.51,,,,
长顺配送,三大区域,西南区域,增量,长顺配送,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,1.09,0,,0,0.15,0,,0,0,0,0,0,0,0,-1.25,0,0.00%,-1.25,0,,,0.00%,,,,,,0,-1,200.00%,,-1.14,-1,85.65%,,0.14,0,0.14,0,7.65,,,,
康铭景东一中餐厅,三大区域,西南区域,存量,康铭景东一中餐厅,460.42,515.01,89.40%,-54.59,502.97,-0.35,0,,0,296.36,335.68,88.29%,246.48,164.41,179.33,91.68%,256.49,35.71%,34.82%,0.89%,51.00%,99.34,107.37,92.52%,120.68,78,42.01,185.65%,24.67,0.4,0,1.96,0.16,0,0,-12.7,29.95,-42.41%,-42.65,113.1,-2.76%,5.82%,-8.57%,22.49%,21.58%,20.85%,92.52%,23.99%,4.63,4.8,96.62%,4.17,-0.13,0.28,-45.83%,0.94,32.29,38,-5.71,39,3.08,3.09,2.83,0.25,
元谋一中食堂,三大区域,西南区域,存量,元谋一中食堂,437.2,434.63,100.59%,2.57,443.36,0,0,,0,319.21,293.15,108.89%,212.27,117.99,141.47,83.40%,231.09,26.99%,32.55%,-5.56%,52.12%,79.44,88.2,90.07%,82.38,89.34,20.73,431.03%,33.72,18.22,0,0.14,18.21,0,0,-50.79,32.55,-156.05%,-83.34,115.12,-11.62%,7.49%,-19.11%,25.97%,18.17%,20.29%,90.07%,18.58%,5.5,4.93,111.68%,5.38,-0.64,0.37,-173.25%,1.4,30.71,36,-5.29,36.57,2.59,2.25,2.45,0.14,
皓峰无量初中店,三大区域,西南区域,存量,皓峰无量初中店,174.46,126.72,137.67%,47.74,74.71,120.35,88.93,135.33%,50.73,0,0,,0,54.11,37.79,143.19%,23.98,31.02%,29.82%,1.20%,32.10%,7.78,5.58,139.41%,2.79,4.7,6.39,73.46%,1.03,0.32,0,0.37,0.01,0,0,41.94,25.82,162.46%,16.12,20.52,24.04%,20.37%,3.67%,27.47%,4.46%,4.41%,139.41%,3.74%,22.41,22.7,98.75%,26.74,5.39,4.62,116.53%,7.35,3,3,0,1.71,2.59,1.63,1.86,0.73,
皓峰景东彝族海高店,三大区域,西南区域,存量,皓峰景东彝族海高店,334.01,388.31,86.02%,-54.3,382.61,228.85,273,83.83%,261.17,0,0,,0,105.16,115.31,91.20%,121.44,31.48%,29.70%,1.79%,31.74%,18.92,18.44,102.60%,19.88,6.34,3.39,187.00%,2.97,1.4,0,0.26,0.62,0,0,80.68,93.48,86.31%,-12.8,98.84,24.15%,24.07%,0.08%,25.83%,5.67%,4.75%,102.60%,5.20%,17.65,21.05,83.83%,19.24,4.26,5.07,84.12%,4.97,5.14,6,-0.86,6,3.68,3.31,3.07,0.61,
皓峰景东一中店,三大区域,西南区域,存量,皓峰景东一中店,266.91,194.57,137.18%,72.34,225.15,185.73,130.98,141.80%,151.86,0,0,,-10.65,81.18,63.59,127.66%,83.94,30.42%,32.68%,-2.27%,37.28%,18.58,21.42,86.73%,32.64,7.97,13.03,61.16%,5.78,1.69,0.28,0.42,0.01,0,0,56.32,29.43,191.38%,26.89,45.93,21.10%,15.12%,5.98%,20.40%,6.96%,11.01%,86.73%,14.50%,14.37,9.08,158.17%,6.9,3.03,1.37,220.67%,1.41,5.71,7,-1.29,8,3.25,4.08,3.06,0.19,
皓峰天等海高店,三大区域,西南区域,存量,皓峰天等海高店,302.32,245.89,122.95%,56.43,179.55,208.42,171.54,121.50%,125.22,0,0,,0,93.9,74.35,126.29%,54.32,31.06%,30.24%,0.82%,30.26%,14.37,15.86,90.56%,14.42,5.95,6.78,87.66%,6.47,1.2,0.23,0.25,0.1,0,0,74.69,51.94,143.81%,22.75,33.68,24.71%,21.12%,3.58%,18.76%,4.75%,6.45%,90.56%,8.03%,21.04,15.5,135.76%,12.45,5.2,3.27,158.80%,2.34,5,6,-1,4.71,2.87,3.06,2.64,0.23,
天等高中物业服务,三大区域,西南区域,增量,天等高中物业服务,7.73,18.03,42.86%,-10.3,0,0,0,,0,0,0,,0,7.73,18.03,42.85%,0,99.97%,100.00%,-0.03%,,0,0,,0,6.52,8.13,80.29%,0,0,0,0,0,0,0,1.2,9.91,12.11%,-8.71,0,15.52%,54.95%,-39.42%,,0.03%,0.00%,,,"3,718.13",-1,372013.37%,,577.2,-1,57920.06%,,0,0,0,0,,,,,
红培基地劳务派遣,三大区域,西南区域,增量,红培基地劳务派遣,77.78,78.39,99.22%,-0.61,0,0,0,,0,1.67,0,,0,-14.76,2.44,-604.78%,0,-18.97%,3.11%,-22.08%,,92.54,75.95,121.84%,0,1.13,0.36,313.46%,0,0,0,0,0,0,0,-17.55,2.08,-843.75%,-19.63,0,-22.56%,2.65%,-25.22%,,118.97%,96.89%,121.84%,,0.84,1.03,81.44%,,-0.19,0.03,-692.51%,,24.29,0,24.29,0,3.81,,,,
若尔盖食堂劳务外包,三大区域,西南区域,增量,若尔盖食堂劳务外包,491.45,490.75,100.14%,0.7,0,0,0,,0,1.64,0,,0,7.43,49.91,14.89%,0,1.51%,10.17%,-8.66%,,484.02,440.84,109.79%,0,18.12,17.2,105.33%,0,0,0,0,0,0,0,-12.33,32.71,-37.70%,-45.04,0,-2.51%,6.66%,-9.17%,,98.49%,89.83%,109.79%,,1.02,1.11,91.21%,,-0.03,0.07,-34.33%,,180,0,180,0,2.69,,,,
西南元谋集采项目,三大区域,西南区域,存量,西南元谋集采项目,51.54,0,,51.54,0,53.35,0,,0,0,0,,0,-1.81,0,,0,-3.51%,,-3.51%,,0,0,,0,0,0,,0,0,0,0,0,0,0,-1.81,0,0.00%,-1.81,0,-3.51%,,-3.51%,,0.00%,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西南新拓配送业务3,三大区域,西南区域,增量,西南新拓配送业务3,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
西南新拓配送业务2,三大区域,西南区域,增量,西南新拓配送业务2,0,"1,024.06",0.00%,"-1,024.06",0,0,835.2,0.00%,0,0,0,,0,0,188.86,0.00%,0,,18.44%,-18.44%,,0,29.72,0.00%,0,0,57.33,0.00%,0,0,0,0,0,0,0,0,101.81,0.00%,-101.81,0,,9.94%,-9.94%,,,2.90%,0.00%,,-1,34.46,-2.90%,,-1,3.43,-29.19%,,0,17.14,-17.14,0,,,1.73,,
西南新拓配送业务1,三大区域,西南区域,增量,西南新拓配送业务1,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.00%,0,0,,,0.00%,,,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,22.86,-22.86,0,,,0,,
石屏一中食堂,三大区域,西南区域,存量,石屏一中食堂,12.72,0,,12.72,272.26,0.52,0,,0,26.68,0,,179.19,-14.48,0,,93.08,-113.85%,,-113.85%,34.19%,3.32,0,,39.26,2.95,0,,39.18,0,0,0.22,0,0,0,-20.75,0,0.00%,-20.75,14.85,-163.13%,,-163.13%,5.45%,26.10%,,,14.42%,3.83,-1,583.15%,6.93,-6.25,-1,-425.03%,0.38,3,3,0,16.57,1.11,2.37,0,1.11,
琼林育贤科技项目,三大区域,西南区域,存量,琼林育贤科技项目,1.89,1.89,100.00%,0,0,0,0,,0,0,0,,0,1.89,1.89,100.00%,0,100.00%,100.00%,0.00%,,0,0,,0,2.52,2.52,100.00%,0.36,0,0,0,0,0,0,-0.63,-0.63,100.10%,0,-0.36,-33.33%,-33.37%,0.03%,,0.00%,0.00%,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
